1a;Nações Azul;6;0,0255
1b;Nações Verde;20;0,0851
1c;Nações Amarelo;31;0,1319
1d;Nações Vermelho;0;0,0000
2a;Geisel Azul;1;0,0043
2b;Geisel Verde;14;0,0596
2c;Geisel Amarelo;24;0,1021
2d;Geisel Vermelho;16;0,0681
3a;Ipiranga Azul;4;0,017;
3b;Ipiranga Verde;14;0,0596
3c;Ipiranga Amarelo;11;0,0468
3d;Ipiranga Vermelho;0;0,0000
4a;Bela Vista Azul;7;0,0298
4b;Bela Vista Verde;20;0,0851
4c;Bela Vista Amarelo;26;0,1106
4d;Bela Vista Vermelho;1;0,0043
5a;Mary Dota Azul;3;0,0128
5b;Mary Dota Verde;15;0,0638
5c;Mary Dota Amarelo;9;0,0383
5d;Mary Dota Vermelho;0;0,0000
6a;Boulevard Azul;2;0,0085
6b;Boulevard Verde;3;0,0128
6c;Boulevard Amarelo;8;0,034
6d;Boulevard Vermelho;0;0,0000
